No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (ASCA),4.8E-13,,ergs s^-1^ cm^-2^,1.45E18,3.31E-8,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,6   keV,Broad-band measurement,127.9283 52.7540 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
2,2-10 keV (Suzaku),4.0E-13,+/-0.3E-13,erg/cm^2^/s,1.45E18,2.76E-8,2.07E-11,2.07E-11,,,+/-2.07E-11,Jy,2009ApJ...697..194S,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV (XMM),5.0E-13,+/-0.1E-13,erg/s/cm^2^,1.45E18,3.45E-8,6.9E-10,6.9E-10,,,+/-6.90E-10,Jy,2009ApJ...706..644C,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,Absorbed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
4,2-10 keV (Chandra),4.5E-13,+/-0.2E-13,erg/s/cm^2^,1.45E18,3.1E-8,1.38E-9,1.38E-9,,,+/-1.38E-09,Jy,2009ApJ...706..644C,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,Absorbed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
5,0.3-10 keV (XMM),7.0E-13,,erg cm^-2^ s^-1^,1.25E18,5.6E-8,,,,,,Jy,2005MNRAS.364..195P,no uncertainty reported,5.15   keV,Broad-band measurement,08 31 41.6 +52 45 17.0 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,0.2-10 keV (Chandra),6.9E-13,+/-0.3E-13,erg/cm^2^/s,1.23E18,5.61E-8,2.44E-9,2.44E-9,,,+/-2.44E-09,Jy,2008A&A...489...57R,uncertainty,5.10 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,0.2-10 keV (XMM),7.6E-13,+/-0.3E-13,erg/cm^2^/s,1.23E18,6.18E-8,2.44E-9,2.44E-9,,,+/-2.44E-09,Jy,2008A&A...489...57R,uncertainty,5.10 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,0.5-8 keV (Suzaku),5.63E-13,+/-0.39E-13,erg/cm^2^/s,1.03E18,5.47E-8,3.79E-9,3.79E-9,,,+/-3.79E-09,Jy,2011ApJ...737...91S,uncertainty,4.25 keV,Broad-band measurement,,Modelled datum,Obs. date : 2007 Mar 24,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,0.5-8 keV (XMM),8.06E-13,+/-0.15E-13,erg/cm^2^/s,1.03E18,7.83E-8,1.46E-9,1.46E-9,,,+/-1.46E-09,Jy,2011ApJ...737...91S,uncertainty,4.25 keV,Broad-band measurement,,Modelled datum,Obs. date : 2007 Oct 22,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
10,0.5-8 keV (Chandra),5.89E-13,+/-0.21E-13,erg/cm^2^/s,1.03E18,5.72E-8,2.04E-9,2.04E-9,,,+/-2.04E-09,Jy,2011ApJ...737...91S,uncertainty,4.25 keV,Broad-band measurement,,Modelled datum,Obs. date : 2008 Jan 14,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
11,0.4-8 keV (Chandra),4.7E-13,,ergs/cm^2^/s,1.02E18,4.61E-8,,,,,,Jy,2004ApJ...605...45D,no uncertainty reported,4.20   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
12,0.4-8 keV (XMM),5.0E-13,,ergs/cm^2^/s,1.02E18,4.9E-8,,,,,,Jy,2004ApJ...605...45D,no uncertainty reported,4.20   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
13,0.7-7 keV (ASCA),5.5E-13,,ergs s^-1^ cm^-2^,9.31E17,5.91E-8,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,3.85   keV,Broad-band measurement,127.9283 52.7540 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
14,0.7-2 keV (ASCA),2.0E-13,,ergs s^-1^ cm^-2^,3.26E17,6.13E-8,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,1.35   keV,Broad-band measurement,127.9283 52.7540 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
15,0.5-2 keV (Chandra),1.429E-13,+/-2.3E-15,ergs/cm^2^/s,3.02E17,4.73E-8,7.62E-10,7.62E-10,,,+/-7.62E-10,Jy,2007ApJ...665.1004J,uncertainty,1.25   keV,Broad-band measurement,--- --- (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
16,0.2-2 keV (XMM),3.5E-13,+/-0.1E-13,erg/s/cm^2^,2.66E17,1.32E-7,3.76E-9,3.76E-9,,,+/-3.76E-09,Jy,2009ApJ...706..644C,uncertainty,1.10 keV,Broad-band measurement,,Modelled datum,Absorbed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
17,0.2-2 keV (Chandra),1.9E-13,+/-0.2E-13,erg/s/cm^2^,2.66E17,7.14E-8,7.52E-9,7.52E-9,,,+/-7.52E-09,Jy,2009ApJ...706..644C,uncertainty,1.10 keV,Broad-band measurement,,Modelled datum,Absorbed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
18,U (CTIO) AB,26.56,,mag,8.44E14,8.63E-8,,,,,,Jy,2004ApJ...609..513B,no uncertainty reported,3552 A,Broad-band measurement,08 31 41.6 +52 45 17 (J2000),Flux in fixed aperture,3sigma limit,From new raw data
19,B (CTIO) AB,26.42,,mag,6.84E14,9.82E-8,,,,,,Jy,2004ApJ...609..513B,no uncertainty reported,4381 A,Broad-band measurement,08 31 41.6 +52 45 17 (J2000),Flux in fixed aperture,3sigma limit,From new raw data
20,B (Johnson),18.827,+/-0.017,mag,6.81E14,1.26E-4,1.97E-6,1.97E-6,,,+/-1.97E-06,Jy,2009AJ....138..845O,rms uncertainty,4400 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
21,V (CTIO) AB,26.19,,mag,5.57E14,1.21E-7,,,,,,Jy,2004ApJ...609..513B,no uncertainty reported,5386.76 A,Broad-band measurement,08 31 41.6 +52 45 17 (J2000),Flux in fixed aperture,3sigma limit,From new raw data
22,F555W (HST),18.7,+/-0.07,mag,5.54E14,1.24E-4,7.96E-6,7.96E-6,,,+/-7.96E-06,Jy,2008A&A...478...95Y,uncertainty,5407 A,Broad-band measurement,,Modelled datum,,Averaged from previously published data
