No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (ASCA),1.1E-13,,ergs/s/cm^2^,1.45E18,7.59E-9,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,6.00 keV,Broad-band measurement,233.7458 +23.4932 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
2,2-10 keV (Suzaku),9.8E-14,+/-0.24E-13,erg/s/cm^2^,1.45E18,6.76E-9,1.66E-9,1.66E-9,,,+/-1.66E-09,Jy,2009ApJ...691..261T,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV,1.07E-13,+/-0.18E-13,erg/s/cm^2^,1.45E18,7.38E-9,1.24E-9,1.24E-9,,,+/-1.24E-09,Jy,2011ApJ...729...52L,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,2-10 keV (XMM),1.11E-13,,erg/cm^2^/s,1.45E18,7.66E-9,,,,,,Jy,2014A&A...569A..71C,no uncertainty reported,6.00 keV,Broad-band measurement,,From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,2-7 keV (Chandra),6.6E-14,,erg/s/cm^2^,1.09E18,6.06E-9,,,,,,Jy,2011A&A...529A.106I,no uncertainty reported,4.50 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,0.7-7 keV (ASCA),2.1E-13,,ergs/s/cm^2^,9.31E17,2.26E-8,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,3.85 keV,Broad-band measurement,233.7458 +23.4932 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
7,EO IPC (0.1-4.5 keV),45.69,,nJy,3.87E17,4.57E-8,,,,,,Jy,1996MNRAS.278.1049R,no uncertainty reported,1.6        keV,Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band,153457.22 +233011.40 (J2000),Integrated from scans,,Homogenized from previously published data
8,0.7-2 keV (ASCA),1.4E-13,,ergs/s/cm^2^,3.26E17,4.29E-8,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,1.35 keV,Broad-band measurement,233.7458 +23.4932 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,0.5-2 keV (Suzaku),6.6E-14,+/-0.10E-13,erg/s/cm^2^,3.02E17,2.19E-8,3.31E-9,3.31E-9,,,+/-3.31E-09,Jy,2009ApJ...691..261T,uncertainty,1.25 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
10,0.5-2 keV (Chandra),2.7E-14,,erg/s/cm^2^,3.02E17,8.94E-9,,,,,,Jy,2011A&A...529A.106I,no uncertainty reported,1.25 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,FUV (GALEX) AB,18.97,+/-0.12,mag,1.96E15,9.42E-5,1.01E-5,1.01E-5,,,+/-1.01E-05,Jy,2014ApJS..212...18B,uncertainty,1531   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
12,FUV (GALEX) AB,18.57,+/-0.12,mag,1.96E15,1.36E-4,1.45E-5,1.45E-5,,,+/-1.45E-05,Jy,2014ApJS..212...18B,uncertainty,1531   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
13,UVW2 (Swift) AB,17.55,+/-0.10,mag,1.48E15,3.46E-4,3.18E-5,3.18E-5,,,+/-3.18E-05,Jy,2014ApJS..212...18B,uncertainty,2026   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
14,UVW2 (Swift) AB,17.96,+/-0.10,mag,1.48E15,2.38E-4,2.19E-5,2.19E-5,,,+/-2.19E-05,Jy,2014ApJS..212...18B,uncertainty,2026   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
15,NUV (GALEX) AB,17.26,+/-0.10,mag,1.31E15,4.53E-4,4.17E-5,4.17E-5,,,+/-4.17E-05,Jy,2014ApJS..212...18B,uncertainty,2286   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
16,NUV (GALEX) AB,17.66,+/-0.10,mag,1.31E15,3.13E-4,2.88E-5,2.88E-5,,,+/-2.88E-05,Jy,2014ApJS..212...18B,uncertainty,2286   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
17,u (SDSS) AB,15.26,+/-0.05,mag,8.44E14,0.00285,1.31E-4,1.31E-4,,,+/-1.31E-04,Jy,2014ApJS..212...18B,uncertainty,3551   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
18,u (SDSS) AB,15.48,+/-0.05,mag,8.44E14,0.00232,1.07E-4,1.07E-4,,,+/-1.07E-04,Jy,2014ApJS..212...18B,uncertainty,3551   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
19,U_T (VATT),14.341,+/-0.023,mag,8.19E14,0.00332,6.98E-5,6.98E-5,,,+/-6.98E-05,Jy,2005ApJ...630..784T,uncertainty,3660   A,Broad-band measurement,15 34 56.33 +23 29 33.8 (J2000),Total flux,,From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed
20,U (U_T),14.27,+/-0.15,mag,8.19E14,0.00355,5.09E-4,5.09E-4,,,+/-5.09E-04,Jy,1991RC3.9.C...0000d,rms uncertainty,3660       A,Broad-band measurement,153247.3 +234006 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
21,U (U_T^0),13.87,,mag,8.19E14,0.00513,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,3660       A,Broad-band measurement,153247.3 +234006 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
23,103a-O (POSS-I O),14.43,,mag,7.4E14,0.00644,,,,,,Jy,2006ApJ...639...37K,no uncertainty reported,4050   A,Broad-band measurement,153457.1 +233007 (J2000),Flux integrated from map,,Averaged new and previously published data
26,m_p,14.4,+/-0.4,mag,6.81E14,0.0074,0.0033,0.0033,,,+/-3.30E-03,Jy,1963CGCG2.C...0000Z,rms noise,4400       A,Broad-band measurement,153248.0 +234000. (B1950),Estimated by eye,,From new raw data
27,B_T (VATT),14.011,+/-0.011,mag,6.81E14,0.0106,1.07E-4,1.07E-4,,,+/-1.07E-04,Jy,2005ApJ...630..784T,uncertainty,4400   A,Broad-band measurement,15 34 56.33 +23 29 33.8 (J2000),Total flux,,From new raw data; Standard Johnson UBVRI filters assumed
